
Id Ponto:;2300022907
Consulta em:;16/06/2021 19:13:46
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;28/08/2012;19:00;2,66;;N;
2;29/08/2012;17:00;2,71;;N;
3;30/08/2012;11:00;2,69;;N;
4;31/08/2012;09:00;2,71;;N;
5;01/09/2012;11:00;2,69;;N;
6;02/09/2012;11:00;2,69;;N;
7;03/09/2012;16:00;2,70;;N;
8;04/09/2012;12:00;2,70;;N;
9;05/09/2012;04:00;2,67;;N;
10;06/09/2012;22:00;2,70;;N;
11;07/09/2012;11:00;2,72;;N;
12;08/09/2012;11:00;2,71;;N;
13;09/09/2012;03:00;2,78;;N;
14;10/09/2012;22:00;2,72;;N;
15;11/09/2012;22:00;2,73;;N;
16;12/09/2012;10:00;2,73;;N;
17;13/09/2012;14:00;2,74;;N;
18;14/09/2012;22:00;2,73;;N;
19;15/09/2012;22:00;2,73;;N;
20;16/09/2012;03:00;2,80;;N;
21;17/09/2012;10:00;2,75;;N;
22;18/09/2012;09:00;2,76;;N;
23;19/09/2012;12:00;2,75;;N;
24;20/09/2012;18:00;2,71;;N;
25;21/09/2012;10:00;2,75;;N;
26;22/09/2012;11:00;2,75;;N;
27;23/09/2012;10:00;2,75;;N;
28;24/09/2012;22:00;2,76;;N;
29;25/09/2012;22:00;2,76;;N;
30;26/09/2012;22:00;2,76;;N;
31;27/09/2012;10:00;2,77;;N;
32;28/09/2012;08:00;2,80;;N;
33;29/09/2012;22:00;2,77;;N;
34;30/09/2012;04:00;2,84;;N;
35;01/10/2012;11:00;2,81;;N;
36;02/10/2012;08:00;2,80;;N;
37;03/10/2012;11:00;2,81;;N;
38;04/10/2012;08:00;2,80;;N;
39;05/10/2012;22:00;2,80;;N;
40;06/10/2012;10:00;2,79;;N;
41;07/10/2012;10:00;2,79;;N;
42;08/10/2012;10:00;2,80;;N;
43;09/10/2012;14:00;2,82;;N;
44;10/10/2012;07:00;2,84;;N;
45;11/10/2012;10:00;2,80;;N;
46;12/10/2012;17:00;2,81;;N;
47;13/10/2012;10:00;2,81;;N;
48;14/10/2012;10:00;2,81;;N;
49;15/10/2012;12:00;2,80;;N;
50;16/10/2012;10:00;2,79;;N;
51;17/10/2012;10:00;2,82;;N;
52;18/10/2012;14:00;2,85;;N;
53;19/10/2012;04:00;2,80;;N;
54;20/10/2012;10:00;2,82;;N;
55;21/10/2012;10:00;2,82;;N;
56;22/10/2012;22:00;2,83;;N;
57;23/10/2012;10:00;2,83;;N;
58;24/10/2012;21:00;2,82;;N;
59;25/10/2012;17:00;2,83;;N;
60;26/10/2012;20:00;2,83;;N;
61;27/10/2012;10:00;2,85;;N;
62;28/10/2012;10:00;2,85;;N;
63;29/10/2012;11:00;2,85;;N;
64;30/10/2012;09:00;2,87;;N;
65;31/10/2012;08:00;2,88;;N;
66;01/11/2012;14:00;2,88;;N;
67;02/11/2012;11:00;2,87;;N;
68;03/11/2012;10:00;2,87;;N;
69;04/11/2012;10:00;2,87;;N;
70;05/11/2012;09:00;2,87;;N;
71;06/11/2012;09:00;2,88;;N;
72;07/11/2012;14:00;2,88;;N;
73;08/11/2012;07:00;2,91;;N;
74;09/11/2012;09:00;2,89;;N;
75;10/11/2012;22:00;2,91;;N;
76;11/11/2012;10:00;2,90;;N;
77;12/11/2012;10:00;2,90;;N;
78;13/11/2012;09:00;2,90;;N;
79;14/11/2012;17:00;2,91;;N;
80;15/11/2012;14:00;2,93;;N;
81;16/11/2012;22:00;2,92;;N;
82;17/11/2012;10:00;2,91;;N;
83;18/11/2012;10:00;2,91;;N;
84;19/11/2012;17:00;2,93;;N;
85;20/11/2012;09:00;2,93;;N;
86;21/11/2012;07:00;2,96;;N;
87;22/11/2012;14:00;2,94;;N;
88;23/11/2012;08:00;2,95;;N;
89;24/11/2012;10:00;2,94;;N;
90;25/11/2012;10:00;2,94;;N;
91;26/11/2012;22:00;2,94;;N;
92;27/11/2012;11:00;2,97;;N;
