
Id Ponto:;2300022891
Consulta em:;16/06/2021 19:09:05
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;31/08/2012;13:00;27,12;;N;
2;01/09/2012;13:00;27,13;;N;
3;02/09/2012;20:00;27,13;;N;
4;03/09/2012;00:00;27,15;;N;
5;04/09/2012;03:00;27,15;;N;
6;05/09/2012;22:00;27,15;;N;
7;06/09/2012;00:00;27,15;;N;
8;07/09/2012;03:00;27,15;;N;
9;08/09/2012;02:00;27,15;;N;
10;09/09/2012;12:00;27,14;;N;
11;10/09/2012;21:00;27,12;;N;
12;11/09/2012;04:00;27,12;;N;
13;12/09/2012;04:00;27,12;;N;
14;13/09/2012;01:00;27,12;;N;
15;14/09/2012;05:00;27,12;;N;
16;15/09/2012;04:00;27,14;;N;
17;16/09/2012;02:00;27,14;;N;
18;17/09/2012;05:00;27,14;;N;
19;18/09/2012;21:00;27,13;;N;
20;19/09/2012;02:00;27,13;;N;
21;20/09/2012;00:00;27,12;;N;
22;21/09/2012;03:00;27,11;;N;
23;22/09/2012;20:00;27,11;;N;
24;23/09/2012;03:00;27,13;;N;
25;24/09/2012;12:00;27,13;;N;
26;25/09/2012;04:00;27,13;;N;
27;26/09/2012;04:00;27,13;;N;
28;27/09/2012;04:00;27,13;;N;
29;28/09/2012;01:00;27,15;;N;
30;29/09/2012;05:00;27,15;;N;
31;30/09/2012;20:00;27,14;;N;
32;01/10/2012;05:00;27,13;;N;
33;02/10/2012;05:00;27,13;;N;
34;03/10/2012;05:00;27,14;;N;
35;04/10/2012;04:00;27,14;;N;
36;05/10/2012;05:00;27,13;;N;
37;06/10/2012;00:00;27,14;;N;
38;07/10/2012;01:00;27,14;;N;
39;08/10/2012;04:00;27,13;;N;
40;09/10/2012;23:00;27,12;;N;
41;10/10/2012;02:00;27,12;;N;
42;11/10/2012;19:00;27,12;;N;
43;12/10/2012;04:00;27,13;;N;
44;13/10/2012;12:00;27,12;;N;
45;14/10/2012;00:00;27,12;;N;
