
Id Ponto:;2300022600
Consulta em:;16/06/2021 19:07:42
Número de sequencia do nível d'agua;Data da medição;Hora da medição;Nível da água;Vazão;Bombeando;
1;30/08/2011;19:00;6,85;;N;
2;31/08/2011;23:00;6,91;;N;
3;01/09/2011;13:00;6,79;;N;
4;02/09/2011;02:00;6,75;;N;
5;03/09/2011;12:00;6,80;;N;
6;04/09/2011;11:00;6,73;;N;
7;05/09/2011;04:00;6,70;;N;
8;06/09/2011;12:00;6,84;;N;
9;07/09/2011;21:00;6,72;;N;
10;08/09/2011;11:00;6,87;;N;
11;09/09/2011;12:00;6,78;;N;
12;10/09/2011;20:00;6,94;;N;
13;11/09/2011;09:00;6,83;;N;
14;12/09/2011;12:00;6,88;;N;
15;13/09/2011;12:00;6,76;;N;
16;14/09/2011;21:00;6,96;;N;
17;15/09/2011;13:00;6,81;;N;
18;16/09/2011;08:00;6,74;;N;
19;17/09/2011;20:00;6,92;;N;
20;18/09/2011;12:00;6,80;;N;
21;19/09/2011;23:00;6,99;;N;
22;20/09/2011;11:00;6,85;;N;
23;21/09/2011;07:00;6,78;;N;
24;22/09/2011;12:00;6,89;;N;
25;23/09/2011;01:00;6,82;;N;
26;24/09/2011;12:00;6,85;;N;
27;25/09/2011;22:00;7,03;;N;
28;26/09/2011;12:00;6,89;;N;
29;27/09/2011;21:00;7,01;;N;
30;28/09/2011;21:00;6,91;;N;
31;29/09/2011;19:00;7,05;;N;
32;30/09/2011;21:00;7,11;;N;
33;01/10/2011;05:00;7,01;;N;
34;02/10/2011;13:00;7,02;;N;
35;03/10/2011;12:00;6,90;;N;
36;04/10/2011;03:00;6,88;;N;
37;05/10/2011;12:00;6,99;;N;
38;06/10/2011;01:00;6,92;;N;
39;07/10/2011;12:00;7,03;;N;
40;08/10/2011;02:00;6,96;;N;
41;09/10/2011;12:00;7,02;;N;
42;10/10/2011;23:00;7,17;;N;
43;11/10/2011;12:00;7,03;;N;
44;12/10/2011;00:00;6,98;;N;
45;13/10/2011;12:00;7,06;;N;
46;14/10/2011;02:00;7,01;;N;
47;15/10/2011;11:00;7,08;;N;
48;16/10/2011;20:00;7,22;;N;
49;17/10/2011;13:00;7,07;;N;
50;18/10/2011;23:00;7,24;;N;
51;19/10/2011;12:00;7,08;;N;
52;20/10/2011;21:00;6,99;;N;
53;21/10/2011;20:00;6,95;;N;
54;22/10/2011;20:00;7,16;;N;
55;23/10/2011;02:00;7,08;;N;
56;24/10/2011;12:00;7,15;;N;
57;25/10/2011;00:00;7,07;;N;
58;26/10/2011;12:00;7,62;;N;
59;27/10/2011;12:00;7,36;;N;
60;28/10/2011;06:00;7,21;;N;
61;29/10/2011;12:00;7,29;;N;
62;30/10/2011;22:00;7,39;;N;
63;31/10/2011;12:00;7,25;;N;
64;01/11/2011;06:00;7,19;;N;
65;02/11/2011;12:00;7,30;;N;
66;03/11/2011;20:00;7,18;;N;
67;04/11/2011;20:00;7,13;;N;
68;05/11/2011;19:00;7,40;;N;
69;06/11/2011;12:00;7,23;;N;
70;07/11/2011;03:00;7,15;;N;
71;08/11/2011;21:00;7,34;;N;
72;09/11/2011;12:00;7,21;;N;
73;10/11/2011;08:00;7,17;;N;
74;11/11/2011;12:00;7,28;;N;
75;12/11/2011;20:00;7,40;;N;
76;13/11/2011;11:00;7,27;;N;
77;14/11/2011;08:00;7,21;;N;
78;15/11/2011;12:00;7,33;;N;
79;16/11/2011;12:00;7,22;;N;
80;17/11/2011;21:00;7,40;;N;
81;18/11/2011;12:00;7,27;;N;
82;19/11/2011;08:00;7,24;;N;
83;20/11/2011;12:00;7,31;;N;
84;21/11/2011;10:00;7,27;;N;
85;22/11/2011;18:00;7,56;;N;
86;23/11/2011;12:00;7,39;;N;
87;24/11/2011;12:00;7,30;;N;
88;25/11/2011;20:00;7,49;;N;
89;26/11/2011;12:00;7,37;;N;
90;27/11/2011;00:00;7,31;;N;
91;28/11/2011;12:00;7,40;;N;
92;29/11/2011;12:00;7,30;;N;
93;30/11/2011;11:00;7,42;;N;
94;01/12/2011;12:00;7,50;;N;
95;02/12/2011;08:00;7,43;;N;
96;03/12/2011;12:00;7,48;;N;
97;04/12/2011;06:00;7,41;;N;
98;05/12/2011;12:00;7,47;;N;
99;06/12/2011;23:00;7,38;;N;
100;07/12/2011;11:00;7,38;;N;
101;08/12/2011;01:00;7,45;;N;
102;09/12/2011;04:00;7,57;;N;
103;10/12/2011;12:00;7,59;;N;
104;11/12/2011;23:00;7,69;;N;
105;12/12/2011;12:00;7,55;;N;
106;13/12/2011;12:00;7,48;;N;
107;14/12/2011;12:00;7,56;;N;
108;15/12/2011;09:00;7,47;;N;
109;16/12/2011;22:00;7,67;;N;
110;17/12/2011;04:00;7,60;;N;
111;18/12/2011;06:00;7,71;;N;
112;19/12/2011;12:00;7,69;;N;
113;20/12/2011;01:00;7,61;;N;
114;21/12/2011;06:00;7,74;;N;
115;22/12/2011;12:00;7,73;;N;
116;23/12/2011;07:00;7,60;;N;
117;24/12/2011;12:00;7,54;;N;
118;25/12/2011;13:00;7,65;;N;
119;26/12/2011;13:00;7,56;;N;
120;27/12/2011;12:00;7,70;;N;
121;28/12/2011;06:00;7,60;;N;
122;29/12/2011;12:00;7,71;;N;
